Область (Яндекс)	Город (Яндекс)	Улица (Яндекс)	Номер дома (Яндекс)
Республика Татарстан	Казань	жилой массив Щербаково, Магистральная улица	16
Калужская область	Калуга	улица Дзержинского	85
Орловская область	Орёл	Приборостроительная улица	36
Республика Татарстан	Казань	улица Голубятникова	11А
Москва	Москва	Хавская улица	1
Иркутская область	Иркутск	улица Маршала Конева	48
Кемеровская область	Кемерово	улица Попова	5
Московская область	Котельники	Кузьминская улица	17
Ивановская область	Иваново	Большая Воробьёвская улица	16
Самарская область	Тольятти	Ленинский проспект	1Д
Саратовская область	Саратов	3-й Дачный посёлок, улица Мира	15Б
Москва	Москва	Звёздный бульвар	14
Нижегородская область	Дзержинск	микрорайон Западный, бульвар Космонавтов	26А
Москва	Москва	Зелёный проспект	44
Москва	Москва	Варшавское шоссе	114к3
Тульская область	Тула	Приупская улица	3
Москва	Москва	Болотниковская улица	33к2
Ростовская область	Ростов-на-Дону	проспект Королёва	3
Волгоградская область	Волгоград	улица Пожарского	338А
Москва	Москва	Астрадамская улица	15
Самарская область	Тольятти	улица Карбышева	16
Московская область	Егорьевск	6-й микрорайон	17
Ярославская область	Ярославль	район Дядьково, Корабельная улица	20
Ростовская область	Ростов-на-Дону	Таганрогская улица	132/3
Саратовская область	Балашов	улица Калинина	58
Москва	Москва	Дубнинская улица	40Ак4
Костромская область	Кострома	Профсоюзная улица	28А
Тульская область	Новомосковск	улица Дёмкина	8
Москва	Москва	Митинская улица	48
Московская область	дачный посёлок Черкизово	Набережная улица	
Ростовская область	Ростов-на-Дону	микрорайон Западный, улица 339-й Стрелковой Дивизии	31А
Ростовская область	Батайск	улица Северный Массив	14
Республика Татарстан	Иннополис	Спортивная улица	110
Курская область	Курчатов	Коммунистический проспект	9
Московская область	посёлок ВНИИССОК	улица Дружбы	9
Краснодарский край	Краснодар	Старокубанская улица	123
Краснодарский край	Краснодар	Симферопольская улица	32
Пермский край	Пермь	улица Елькина	7
Санкт-Петербург	Санкт-Петербург	улица Дыбенко	27к1
Москва	Москва	проспект Защитников Москвы	7к2
Ярославская область	Ярославль	улица Серго Орджоникидзе	29
Республика Татарстан	Казань	Дружинная улица	6
Московская область	Чехов	улица Дружбы	20
Павлодарская область	Павлодар	улица Павлова	93/1
Москва	Москва	Ташкентская улица	34к1
Московская область	Серпухов	улица Ивана Болотникова	30/19
Красноярский край	Красноярск	Советский район, микрорайон Зелёная Роща, улица Воронова	18
Москва	Москва	Саранская улица	апр.24
Саратовская область	Саратов	Зоологическая улица	6
Ярославская область	Ярославль	улица Строителей	16к3
Ярославская область	Ярославль	улица Некрасова	71А
Ростовская область	Ростов-на-Дону	микрорайон Северный, улица Беляева	9
Москва	Москва	Нарвская улица	9
Красноярский край	Красноярск	Краснодарская улица	3
Краснодарский край	посёлок Российский	Рымникская улица	13лит1
Саратовская область	Балашов	улица Орджоникидзе	13А
Смоленская область	Смоленск	Колхозный переулок	19А
Ярославская область	Ярославль	жилой район Липовая Гора, 1-я Тормозная улица	58
Ульяновская область	Ульяновск	проспект Нариманова	63
Омская область	Омск	Нефтезаводская улица	37
Москва	Москва	улица Долгова	5
Самарская область	Самара	улица Гая	32
Курская область	Курск	микрорайон КЗТЗ, Заводская улица	41А
Санкт-Петербург	Санкт-Петербург	улица Савушкина	12
Волгоградская область	Волгоград	Калининградская улица	21
Калужская область	Калуга	бульвар Моторостроителей	4
Брянская область	Брянск	улица Мичурина	29
Ростовская область	Ростов-на-Дону	проспект Стачки	215
Ивановская область	Иваново	проспект Строителей	92
Орловская область	Орёл	Комсомольская улица	360
Москва	Москва	Элеваторная улица	6к1
Брянская область	Брянск	Октябрьская улица	70
Московская область	Кашира	Новокаширская улица	16
Кемеровская область	Кемерово	улица Потёмкина	7
Москва	Москва	14-я Парковая улица	4
Вологодская область	Вологда	улица Пугачёва	69
Москва	Москва	1-й Сельскохозяйственный проезд	3
Москва	Москва	проезд Нансена	5
Ульяновская область	Ульяновск	улица Ефремова	143
Ярославская область	Ярославль	проспект Толбухина	15А
Тверская область	Тверь	улица Бобкова	36к1
Ярославская область	Ярославль	улица Кудрявцева	9
Ивановская область	Иваново	Дюковская улица	25
Кемеровская область	Новокузнецк	улица Сусанина	3
Саратовская область	Саратов	Волжский район, посёлок Юбилейный, Саловская улица	5
Брянская область	Брянск	улица Евдокимова	2
Санкт-Петербург	Сестрорецк	улица Токарева	8
Москва	Москва	улица Ивана Сусанина	6к4
Орловская область	Орёл	Комсомольская улица	288
Красноярский край	Красноярск	Советский район, микрорайон Зелёная Роща, улица Тельмана	12
Санкт-Петербург	Санкт-Петербург	проспект Шаумяна	81
Московская область	Ликино-Дулёво	улица Калинина	10А
Ростовская область	Батайск	улица Котова	16к1
Московская область	Ивантеевка	Советский проспект	11.окт.
Нижегородская область	Нижний Новгород	Южное шоссе	50
Санкт-Петербург	Санкт-Петербург	проспект Тореза	39к1
Пермский край	Пермь	улица Краснова	26
Ивановская область	Иваново	Ленинский район, 30-й микрорайон	51
Московская область	Котельники	микрорайон Южный	6
Ивановская область	Шуя	микрорайон Афанасьева	13
Санкт-Петербург	Санкт-Петербург	Измайловский проспект	16/30
Ленинградская область	Кудрово	Столичная улица	6к3
Саратовская область	Энгельс	микрорайон Энгельс-1	80
Москва	Москва	Воронежская улица	34к2
Волгоградская область	Волгоград	улица Рокоссовского	60
Кемеровская область	Кемерово	проспект Ленина	137А
Тверская область	Тверь	улица Чудова	21
Омская область	Омск	27-я Северная улица	123Б
Москва	Москва	улица Маршала Тухачевского	40к1
Омская область	Омск	посёлок Чкаловский, Юбилейная улица	5
Калужская область	Калуга	бульвар Моторостроителей	20
Краснодарский край	Краснодар	улица Гагарина	132
Калужская область	Калуга	улица Рылеева	21
Ярославская область	Ярославль	улица Громова	46
Пермский край	Пермь	улица Космонавта Беляева	48
Волгоградская область	Волгоград	улица 35-й Гвардейской Дивизии	21
Иркутская область	Иркутск	улица Баумана	231
Москва	Москва	Волжский бульвар	46к1
Воронежская область	Воронеж	улица 40 лет Октября	2
Смоленская область	Смоленск	улица Нормандия-Неман	23В
Ярославская область	Ярославль	улица Бабича	2
Ярославская область	Ярославль	улица Чехова	17к2
Московская область	рабочий посёлок Менделеево	улица Куйбышева	8
Самарская область	Тольятти	12-й квартал, бульвар Гая	25
Москва	Москва	улица Зорге	18к2
Смоленская область	Смоленск	Краснинское шоссе	5
Ярославская область	Ярославль	улица Добрынина	4
Москва	Москва	улица 800-летия Москвы	1к1
Ульяновская область	Димитровград	проспект Димитрова	23
Москва	Москва	1-й Красногвардейский проезд	21с1
Краснодарский край	Краснодар	улица Александра Покрышкина	04.май
Тюменская область	Тюмень	улица Газовиков	3
Санкт-Петербург	Санкт-Петербург	Южное шоссе	53к4
Орловская область	Орёл	улица Гуртьева	18
Тульская область	Щёкино	Пионерская улица	4А
Ярославская область	Ярославль	проспект Фрунзе	63
Ростовская область	Батайск	улица Котова	4к1
Саратовская область	Саратов	Шелковичная улица	128
Ульяновская область	Димитровград	улица Лермонтова	4
Республика Татарстан	Казань	улица Амирхана Еники	3
Москва	Москва	Новоясеневский проспект	12к3
Северо-Казахстанская область	Петропавловск	улица Сатпаева	15
Северо-Казахстанская область	Петропавловск	улица Сатпаева	15
Ярославская область	Ярославль	улица Добрынина	9А
Ярославская область	Ярославль	Северный жилой район, улица Елены Колесовой	68
Московская область	Лобня	улица Колычева	5
Калининградская область	Калининград	Зарайская улица	13
Ивановская область	Иваново	улица Люлина	33
Московская область	Химки	улица Строителей	4А
Тульская область	Тула	улица Максима Горького	1
Смоленская область	Смоленск	улица Марии Октябрьской	24
Московская область	Химки	Юбилейный проспект	40
Восточно-Казахстанская область	Усть-Каменогорск	улица Протозанова	65
Краснодарский край	Краснодар	Московская улица	133к1
Павлодарская область	Павлодар	улица Каирбаева	90
Московская область	Балашиха	микрорайон Ольгино, Граничная улица	32
Ростовская область	Ростов-на-Дону	Уланская улица	5
Калужская область	Калуга	улица Гагарина	13
Ульяновская область	Ульяновск	улица Димитрова	3
Ростовская область	Ростов-на-Дону	проспект Стачки	188/3
Санкт-Петербург	Колпино	Тверская улица	60
Павлодарская область	Экибастуз	улица Машхур Жусупа	18
Павлодарская область	Экибастуз	улица Машхур Жусупа	18
Москва	Москва	Дубнинская улица	14к2
Воронежская область	Воронеж	Ленинский проспект	9
Ульяновская область	Ульяновск	Киевский бульвар	4
Ярославская область	Ярославль	Ленинградский проспект	62к5
Вологодская область	Череповец	улица Годовикова	14
Московская область	Щёлково	улица Беляева	14А
Москва	Москва	Щёлковское шоссе	18к1
Санкт-Петербург	Кронштадт	Кронштадтское шоссе	10к2
Тульская область	Тула	улица Демонстрации	38
Московская область	Красногорск	Успенская улица	11
Ивановская область	Кохма	Владимирская улица	29
Алматы	Алматы	улица Ауэзова	130
Краснодарский край	Краснодар	Дальняя улица	8к2
Москва	Москва	улица Пестеля	8Б
Москва	Москва	Туристская улица	14к4
Курская область	Курск	улица Черняховского	33
Москва	Москва	Кавказский бульвар	29к4
Московская область	Люберцы	улица Попова	18
Санкт-Петербург	Санкт-Петербург	улица Кораблестроителей	19к1
Брянская область	Брянск	Бежицкая улица	1к10
Саратовская область	Саратов	Гвардейская улица	44А
Москва	Москва	улица Академика Варги	24
Москва	Москва	1-я Владимирская улица	33к2
Ульяновская область	Ульяновск	Ульяновский проспект	7
Волгоградская область	Волгоград	Невская улица	12А
Краснодарский край	Краснодар	улица им. Героя Сарабеева В.И.	9
Волгоградская область	Волгоград	микрорайон Тулака, улица Карла Маркса	7
Тверская область	Ржев	Первомайская улица	30.апр.
Калужская область	Калуга	улица Мичурина	12
Ярославская область	Ярославль	жилой район Липовая Гора, Звёздная улица	5к2
Московская область	Химки	микрорайон Левобережный, Совхозная улица	8А
Самарская область	Тольятти	улица Ворошилова	12
Ростовская область	Ростов-на-Дону	улица Рыльского	1
Ростовская область	Ростов-на-Дону	2-я Краснодарская улица	151
Москва	Москва	улица Академика Янгеля	2
Ульяновская область	Ульяновск	проспект Дружбы Народов	1
Калининградская область	Калининград	Майский переулок	5
Самарская область	Тольятти	улица Фрунзе	27
Смоленская область	Смоленск	улица Ударников	53
Ярославская область	Ярославль	Большая Октябрьская улица	130
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Славянский, Заполярная улица	37к3
Москва	Москва	улица Гончарова	6
Ульяновская область	Ульяновск	улица Богдана Хмельницкого	22
Санкт-Петербург	Санкт-Петербург	проспект Луначарского	7к2
Волгоградская область	Волгоград	улица Маршала Ерёменко	56
Ставропольский край	Ставрополь	улица Тухачевского	25
Брянская область	Брянск	Авиационная улица	19
Москва	Москва	проезд Черепановых	38к1
Саратовская область	Балаково	улица Ленина	82
Самарская область	Тольятти	16-й квартал, Цветной бульвар	4
Иркутская область	Иркутск	Байкальская улица	202/1
Алматы	Алматы	Бостандыкский район	
Алматы	Алматы	Бостандыкский район	
Тверская область	Тверь	улица Паши Савельевой	23к3
Краснодарский край	Краснодар	Домбайская улица	10
Костанайская область	Костанай		
Воронежская область	Воронеж	улица Урицкого	155
Тверская область	Тверь	Хрустальная улица	43
Москва	Москва	улица Малыгина	5к2
Астраханская область	Астрахань	Красноармейская улица	35
Московская область	Красногорск	Павшинский бульвар	7
Московская область	Красногорск	Успенская улица	11
Свердловская область	Екатеринбург	микрорайон ЖБИ, Рассветная улица	6к2
Краснодарский край	Краснодар	Командорская улица	6к2
Республика Татарстан	Казань	улица Юлиуса Фучика	20
Тюменская область	Тюмень	Олимпийская улица	15
Ярославская область	Ярославль	жилой район Липовая Гора, 1-я Тормозная улица	58
Смоленская область	Смоленск	улица Маршала Соколовского	5Б
Ярославская область	Ярославль	проспект Машиностроителей	36
Тюменская область	Тюмень	улица 50 лет Октября	24
Москва	Москва	улица Шухова	19
Москва	Москва	Домодедовская улица	23к1
Воронежская область	Воронеж	Тепличная улица	26Ж
Красноярский край	Красноярск	Затонская улица	2
Санкт-Петербург	посёлок Шушары	территория Славянка, Полоцкая улица	3
Красноярский край	Красноярск	Северо-Енисейская улица	44Г
Ивановская область	Иваново	проспект Строителей	20А
Краснодарский край	посёлок Российский	Тверской проезд	3
Ярославская область	Ярославль	улица Бабича	24
Ленинградская область	Кудрово	Столичная улица	6к2
Ставропольский край	Михайловск	Любимая улица	9
Калининградская область	Калининград	улица Каштановая Аллея	169
Краснодарский край	Краснодар	Российская улица	267/3к2
Ярославская область	Ярославль	улица Блюхера	31
Архангельская область	Новодвинск	улица Димитрова	6
Московская область	Долгопрудный	Молодёжная улица	4
Нижегородская область	Нижний Новгород	улица Героя Советского Союза Прыгунова	23
Тверская область	Ржев	улица Карла Маркса	12
Смоленская область	Ярцево	улица Гагарина	25
Санкт-Петербург	Санкт-Петербург	Ждановская набережная	7
Ярославская область	Ярославль	Большая Октябрьская улица	73к2
Тульская область	Узловая	Магистральная улица	31
Московская область	Люберцы	улица 50 лет Комсомола	8
Москва	Москва	3-я Парковая улица	61
Ярославская область	Ярославль	Ленинградский проспект	63
Свердловская область	Екатеринбург	Латвийская улица	36
Санкт-Петербург	Колпино	улица Братьев Радченко	29
Краснодарский край	Краснодар	Российская улица	79/3к1
Ярославская область	Ярославль	жилой район Липовая Гора, Звёздная улица	17
Московская область	деревня Путилково	Садовая улица	22
Ульяновская область	Ульяновск	улица Александра Матросова	4
Самарская область	Тольятти	улица 70 лет Октября	20
Тюменская область	Тюмень	Тульская улица	6
Смоленская область	деревня Новосельцы	Юбилейная улица	5
Самарская область	Самара	проспект Карла Маркса	453
Свердловская область	Екатеринбург	улица Академика Шварца	12к2
Ставропольский край	Ессентуки	улица Фридриха Энгельса	36
Краснодарский край	Краснодар	улица Карякина	19
Краснодарский край	Краснодар	Дальняя улица	39/3
Нижегородская область	Дзержинск	улица Гайдара	27
Москва	Москва	Дубнинская улица	32к5
Ярославская область	Ярославль	Совхозная улица	14
Краснодарский край	Краснодар	Центральный округ, микрорайон Черёмушки, Ставропольская улица	107/9
Хабаровский край	Хабаровск	улица А.А. Вахова	8Б
Краснодарский край	Краснодар	улица им. Героя Яцкова И.В.	17
Тверская область	Ржев	Селижаровский проезд	2
Смоленская область	Смоленск	улица Петра Алексеева	19
Липецкая область	Липецк	Ангарская улица	23А
Ростовская область	Ростов-на-Дону	1-я Баррикадная улица	9
Москва	Москва	Туристская улица	4к5
Республика Татарстан	Иннополис	Спортивная улица	134
Москва	Москва	Оршанская улица	9
Ивановская область	Кинешма	улица Менделеева	5
Краснодарский край	Краснодар	улица Петра Метальникова	3/1к1
Пермский край	Пермь	улица Крылова	17
Ярославская область	Рыбинск	Центральный планировочный район, посёлок Северный, улица Академика Губкина	35к1
Краснодарский край	Краснодар	улица Героя А.А. Аверкиева	20
Москва	Москва	Сахалинская улица	5к2
Свердловская область	Екатеринбург	проспект Космонавтов	52Б
Краснодарский край	Краснодар	Карасунский внутригородской округ, микрорайон Гидростроителей, улица Игнатова	67
Ставропольский край	Ессентуки	Октябрьская улица	473
Москва	Москва	улица Наташи Ковшовой	21
Ставропольский край	Ессентуки	Октябрьская улица	473
Москва	Москва	Щёлковское шоссе	95
Ярославская область	Рыбинск	Центральный планировочный район, посёлок Северный, улица Рапова	13
Краснодарский край	Сочи	микрорайон Заречный, Красноармейская улица	25
Республика Татарстан	Казань	Чистопольская улица	47
Ставропольский край	Михайловск	жилой район Гармония, Музыкальная улица	2
Москва	Москва	Елецкая улица	9к3
Московская область	Электросталь	улица Победы	4к3
Свердловская область	Екатеринбург	улица Мичурина	206
Курская область	Курск	Центральный округ, проспект Дружбы	13
Краснодарский край	Краснодар	Карасунский внутригородской округ, микрорайон Гидростроителей, улица Гидростроителей	61
Тюменская область	Тюмень	Фабричная улица	1
Москва	Москва	Профсоюзная улица	91к1
Москва	Москва	Бирюлёвская улица	58к3
Свердловская область	Первоуральск	Советская улица	12
Свердловская область	Екатеринбург	улица Краснолесья	18к1
Свердловская область	Екатеринбург	Заводская улица	94
Краснодарский край	Краснодар	проезд Репина	32
Смоленская область	Смоленск	улица Попова	110к2
Свердловская область	Екатеринбург	Шишимская улица	21
Тверская область	Тверь	2-я улица Красина	72
Самарская область	Тольятти	улица Свердлова	43
Свердловская область	Екатеринбург	Чкаловский район, микрорайон Ботанический, Родонитовая улица	21
Республика Татарстан	Иннополис	Спортивная улица	116
Ярославская область	Ярославль	проспект Октября	43
Саратовская область	Саратов	улица имени В.И. Чапаева	6А
Краснодарский край	Краснодар	улица Валерия Гассия	6А
Вологодская область	Череповец	Первомайская улица	64
Смоленская область	Десногорск	1-й микрорайон	12
Ярославская область	Рыбинск	Западный планировочный район, Прибрежный район, улица Бориса Рукавицына	12
Калининградская область	Калининград	улица Куйбышева	171
Ярославская область	Ярославль	улица 8 Марта	18к2
Москва	Москва	улица Расплетина	15
Санкт-Петербург	Санкт-Петербург	улица Кораблестроителей	22к1
Алматы	Алматы	улица Чайковского	32
Костромская область	Кострома	Индустриальная улица	27А
Краснодарский край	Краснодар	улица Генерала Трошева	17
Москва	Москва	Каширское шоссе	146к1
Алматы	Алматы	улица Чайковского	32
Омская область	Омск	улица Серова	24А
Костанайская область	Костанай	Соколовская улица	20
Нижегородская область	Нижний Новгород	улица Тропинина	18
Нижегородская область	Нижний Новгород	улица Политбойцов	7
Калужская область	Калуга	улица Никитина	34
Ивановская область	Кохма	Владимирская улица	33
Саратовская область	Балашов	улица 50 лет ВЛКСМ	21А
Московская область	Химки	улица Нахимова	14
Москва	Москва	улица Фёдора Полетаева	19к1
Ростовская область	Ростов-на-Дону	микрорайон Северный, улица Добровольского	20
Вологодская область	Череповец	Октябрьский проспект	91
Волгоградская область	Волгоград	улица Поддубного	1
Краснодарский край	Краснодар	улица Краеведа Соловьёва	2к2
Московская область	Пушкино	улица Просвещения	8к1
Тульская область	Тула	улица Металлургов	44А
Ярославская область	Рыбинск	улица Свободы	25
Москва	Москва	Студёный проезд	34к1
Ростовская область	Батайск	улица Половинко	280/7к1
Астраханская область	Астрахань	улица Куликова	81к3
Краснодарский край	Краснодар	Центральный округ, микрорайон Центральный, улица Гоголя	23
Москва	Москва	Мичуринский проспект	11к2
Москва	Москва	Абельмановская улица	6
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Ростовское Шоссе, улица Ивана Рослого	18к3
Московская область	Химки	Куркинское шоссе	16
Московская область	Сергиев Посад	Новоугличское шоссе	52
Краснодарский край	Краснодар	улица имени 40-летия Победы	97/1
Московская область	рабочий посёлок Октябрьский	улица 60 лет Победы	4
Республика Татарстан	Иннополис	Спортивная улица	132
Волгоградская область	Волгоград	микрорайон Тулака, улица Карла Маркса	19
Краснодарский край	Сочи	жилой район Адлер, улица Молокова	32
Ростовская область	Ростов-на-Дону	Заводская улица	11
Московская область	Мытищи	улица Мира	6
Вологодская область	Череповец	Вологодская улица	40
Архангельская область	Архангельск	улица Тимме	10к2
Свердловская область	Екатеринбург	улица Черепанова	20
Самарская область	Самара	улица Литвинова	322А
Саратовская область	Саратов	улица Сакко и Ванцетти	10
Санкт-Петербург	Санкт-Петербург	улица Коллонтай	21к2
Архангельская область	Новодвинск	улица Димитрова	19
Краснодарский край	Сочи	Донская улица	17
Брянская область	Брянск	Бежицкий район, Дятьковская улица	117
Вологодская область	Череповец	Рыбинская улица	18А
Смоленская область	Смоленск	2-й Краснофлотский переулок	46
Краснодарский край	Краснодар	Фестивальный микрорайон, улица Тургенева	199
Нижегородская область	Нижний Новгород	Должанская улица	6
Саратовская область	Саратов	улица Пушкина	17/25
Свердловская область	Екатеринбург	Октябрьский район, микрорайон Синие Камни, бульвар Есенина	3
Краснодарский край	Сочи	микрорайон Бытха, улица Бытха	08.сен
Санкт-Петербург	Кронштадт	улица Рошаля	10
Санкт-Петербург	Красное Село	Гвардейская улица	19к1
Ростовская область	Ростов-на-Дону	Извилистая улица	13
Саратовская область	Балаково	Саратовское шоссе	83/5
Ивановская область	Иваново	Ульяновская улица	48
Ярославская область	Ярославль	улица Урицкого	37
Москва	Москва	Севанская улица	58
Республика Татарстан	Иннополис	Спортивная улица	128
Ивановская область	Шуя	2-я Южная улица	11
Краснодарский край	Краснодар	Центральный округ, микрорайон Черёмушки, Ставропольская улица	163
Тверская область	Ржев	улица Ленина	30
Ростовская область	Ростов-на-Дону	проспект Соколова	81/1
Волгоградская область	Волгоград	улица Дзержинского	47
Смоленская область	Смоленск	улица Шевченко	80
Хабаровский край	Хабаровск	Школьная улица	11
Краснодарский край	Краснодар	улица Кирилла Россинского	69
Алматы	Алматы	Алатауский район	
Краснодарский край	Краснодар	улица Стасова	145
Ульяновская область	Ульяновск	проспект Туполева	10
Саратовская область	Саратов	Железнодорожная улица	74/78
Саратовская область	Саратов	Большая Садовая улица	139/150
Республика Татарстан	Казань	улица Мусина	59Бк2
Астраханская область	Астрахань	Студенческая улица	7
Ульяновская область	Ульяновск	улица Рябикова	61/37
Саратовская область	посёлок Новогусельский	Садовая улица	12
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Московский, улица им. Котлярова Н.С.	19
Москва	Москва	Домодедовская улица	34к1
Московская область	Лобня	улица Чкалова	1
Саратовская область	Балаково	улица Академика Жук	17А
Москва	Москва	улица Малышева	3
Москва	Москва	Кантемировская улица	5к4
Самарская область	Тольятти	Тополиная улица	2
Калужская область	Калуга	Тульская улица	6
Ярославская область	Ярославль	Ленинградский проспект	83
Москва	Москва	улица Бестужевых	21В
Орловская область	Орёл	Раздольная улица	19
Краснодарский край	посёлок Российский	Очаковская улица	6
Карагандинская область	Караганда	Октябрьский район	
Санкт-Петербург	Санкт-Петербург	улица Нахимова	1
Москва	Москва	1-й Тушинский проезд	8к1
Волгоградская область	Волгоград	улица Ломакина	1А
Смоленская область	Смоленск	улица Попова	4А
Московская область	деревня Путилково	Садовая улица	20
Нижегородская область	Нижний Новгород	улица Дружаева	17А
Саратовская область	Балашов	улица Орджоникидзе	15Б
Московская область	Электросталь	Ногинское шоссе	16
Московская область	Люберцы	Коммунистическая улица	18
Самарская область	Тольятти	улица Баныкина	20
Московская область	Балашиха	улица Кудаковского	13
Москва	Москва	Шмитовский проезд	39к1
Тюменская область	Тюмень	улица Домостроителей	6А
Краснодарский край	Краснодар	Командорская улица	3к2
Иркутская область	Иркутск	Советская улица	47
Калужская область	Калуга	Литейная улица	5
Ивановская область	Иваново	3-я Межевая улица	7
Саратовская область	Саратов	площадь имени Г.К. Орджоникидзе	10
Ставропольский край	Ставрополь	улица Доваторцев	44к2
Санкт-Петербург	Санкт-Петербург	улица Лётчика Пилютова	2
Ростовская область	Ростов-на-Дону	микрорайон Северный, бульвар Комарова	21
Москва	Москва	2-я Филёвская улица	10
Москва	Москва	12-я Новокузьминская улица	4к1
Краснодарский край	Краснодар	улица Карякина	5к2
Ростовская область	Волгодонск	улица Карла Маркса	16
Алматинская область	Есик	улица Ынтымак	1
Москва	Москва	Знаменская улица	8
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Ростовское Шоссе, улица Евгении Жигуленко	3
Воронежская область	Воронеж	улица Чапаева	124
Самарская область	Самара	проспект Карла Маркса	430
Ярославская область	Ярославль	Рыбинская улица	30/30
Краснодарский край	Краснодар	Фестивальный микрорайон, микрорайон Солнечный, Казбекская улица	15
Калужская область	Калуга	Молодёжная улица	11
Москва	Москва	улица Яблочкова	35А
Самарская область	Тольятти	улица Лизы Чайкиной	79
Санкт-Петербург	Санкт-Петербург	7-я Советская улица	7
саратовская	саратов		
Самарская	Тольятти		
Тверская область	Тверь	Спортивный переулок	2к3
Москва	Москва	Кировоградская улица	22
Москва	Москва	улица Архитектора Власова	13к4
Ярославская область	Ярославль	2-й Брагинский проезд	4к2
Московская область	Балашиха	Северный проезд	15
Нижегородская область	Нижний Новгород	проспект Ильича	43к2
Ростовская область	Ростов-на-Дону	Таганрогская улица	135/2
Ярославская область	Ярославль	улица Панина	12
Ивановская область	Иваново	Зелёная улица	36
Ярославская область	Ярославль	Ленинградский проспект	66к5
Смоленская область	Смоленск	улица Рыленкова	45
Саратовская область	Саратов	улица имени В.Г. Рахова	11
Тульская область	Тула	улица Кутузова	88А
Ростовская область	Ростов-на-Дону	микрорайон Западный, Коммунистический проспект	48/5
Московская область	Реутов	Юбилейный проспект	63
Смоленская область	Смоленск	улица Крупской	55В
Санкт-Петербург	Санкт-Петербург	1-й Рабфаковский переулок	9к2
Нижегородская область	Бор	2-й микрорайон	40
Ростовская область	Батайск	улица Крупской	1
Ярославская область	Ярославль	жилой район Липовая Гора, Звёздная улица	3к3
Хабаровский край	Хабаровск	Краснореченская улица	79
Свердловская область	Екатеринбург	Орджоникидзевский район, микрорайон Эльмаш, улица Бабушкина	31
Москва	Москва	Ташкентская улица	34к1
Смоленская область	Смоленск	улица Валентины Гризодубовой	1
Ярославская область	Ярославль	жилой район Сокол, Дядьковский проезд	4
Санкт-Петербург	Санкт-Петербург	проспект Добролюбова	3
Пермский край	Пермь	Камышловская улица	21
Свердловская область	Екатеринбург	Железнодорожный район, микрорайон Старая Сортировка, Таёжная улица	4
Ярославская область	Ярославль	улица Чехова	43А
Смоленская область	Смоленск	улица Авиаторов	5
Тюменская область	Тюмень	проезд Геологоразведчиков	13
