Область (Яндекс)	Город (Яндекс)	Улица (Яндекс)
Ростовская область	Батайск	улица Котова
Московская область	Ивантеевка	Советский проспект
Нижегородская область	Нижний Новгород	Южное шоссе
Санкт-Петербург	Санкт-Петербург	проспект Тореза
Пермский край	Пермь	улица Краснова
Ивановская область	Иваново	Ленинский район, 30-й микрорайон
Московская область	Котельники	микрорайон Южный
Ивановская область	Шуя	микрорайон Афанасьева
Санкт-Петербург	Санкт-Петербург	Измайловский проспект
Ленинградская область	Кудрово	Столичная улица
Саратовская область	Энгельс	микрорайон Энгельс-1
Москва	Москва	Воронежская улица
Волгоградская область	Волгоград	улица Рокоссовского
Кемеровская область	Кемерово	проспект Ленина
Тверская область	Тверь	улица Чудова
Омская область	Омск	27-я Северная улица
Москва	Москва	улица Маршала Тухачевского
Омская область	Омск	посёлок Чкаловский, Юбилейная улица
Калужская область	Калуга	бульвар Моторостроителей
Краснодарский край	Краснодар	улица Гагарина
Калужская область	Калуга	улица Рылеева
Ярославская область	Ярославль	улица Громова
Пермский край	Пермь	улица Космонавта Беляева
Волгоградская область	Волгоград	улица 35-й Гвардейской Дивизии
Иркутская область	Иркутск	улица Баумана
Москва	Москва	Волжский бульвар
Воронежская область	Воронеж	улица 40 лет Октября
Смоленская область	Смоленск	улица Нормандия-Неман
Ярославская область	Ярославль	улица Бабича
Ярославская область	Ярославль	улица Чехова
Московская область	рабочий посёлок Менделеево	улица Куйбышева
Самарская область	Тольятти	12-й квартал, бульвар Гая
Москва	Москва	улица Зорге
Смоленская область	Смоленск	Краснинское шоссе
Ярославская область	Ярославль	улица Добрынина
Москва	Москва	улица 800-летия Москвы
Ульяновская область	Димитровград	проспект Димитрова
Москва	Москва	1-й Красногвардейский проезд
Краснодарский край	Краснодар	улица Александра Покрышкина
Тюменская область	Тюмень	улица Газовиков
Санкт-Петербург	Санкт-Петербург	Южное шоссе
Орловская область	Орёл	улица Гуртьева
Тульская область	Щёкино	Пионерская улица
Ярославская область	Ярославль	проспект Фрунзе
Ростовская область	Батайск	улица Котова
Саратовская область	Саратов	Шелковичная улица
Ульяновская область	Димитровград	улица Лермонтова
Республика Татарстан	Казань	улица Амирхана Еники
Москва	Москва	Новоясеневский проспект
Северо-Казахстанская область	Петропавловск	улица Сатпаева
Северо-Казахстанская область	Петропавловск	улица Сатпаева
Ярославская область	Ярославль	улица Добрынина
Ярославская область	Ярославль	Северный жилой район, улица Елены Колесовой
Московская область	Лобня	улица Колычева
Калининградская область	Калининград	Зарайская улица
Ивановская область	Иваново	улица Люлина
Московская область	Химки	улица Строителей
Тульская область	Тула	улица Максима Горького
Смоленская область	Смоленск	улица Марии Октябрьской
Московская область	Химки	Юбилейный проспект
Восточно-Казахстанская область	Усть-Каменогорск	улица Протозанова
Краснодарский край	Краснодар	Московская улица
Павлодарская область	Павлодар	улица Каирбаева
Московская область	Балашиха	микрорайон Ольгино, Граничная улица
Ростовская область	Ростов-на-Дону	Уланская улица
Калужская область	Калуга	улица Гагарина
Ульяновская область	Ульяновск	улица Димитрова
Ростовская область	Ростов-на-Дону	проспект Стачки
Санкт-Петербург	Колпино	Тверская улица
Павлодарская область	Экибастуз	улица Машхур Жусупа
Павлодарская область	Экибастуз	улица Машхур Жусупа
Москва	Москва	Дубнинская улица
Воронежская область	Воронеж	Ленинский проспект
Ульяновская область	Ульяновск	Киевский бульвар
Ярославская область	Ярославль	Ленинградский проспект
Вологодская область	Череповец	улица Годовикова
Московская область	Щёлково	улица Беляева
Москва	Москва	Щёлковское шоссе
Санкт-Петербург	Кронштадт	Кронштадтское шоссе
Тульская область	Тула	улица Демонстрации
Московская область	Красногорск	Успенская улица
Ивановская область	Кохма	Владимирская улица
Алматы	Алматы	улица Ауэзова
Краснодарский край	Краснодар	Дальняя улица
Москва	Москва	улица Пестеля
Москва	Москва	Туристская улица
Курская область	Курск	улица Черняховского
Москва	Москва	Кавказский бульвар
Московская область	Люберцы	улица Попова
Санкт-Петербург	Санкт-Петербург	улица Кораблестроителей
Брянская область	Брянск	Бежицкая улица
Саратовская область	Саратов	Гвардейская улица
Москва	Москва	улица Академика Варги
Москва	Москва	1-я Владимирская улица
Ульяновская область	Ульяновск	Ульяновский проспект
Волгоградская область	Волгоград	Невская улица
Краснодарский край	Краснодар	улица им. Героя Сарабеева В.И.
Волгоградская область	Волгоград	микрорайон Тулака, улица Карла Маркса
Тверская область	Ржев	Первомайская улица
Калужская область	Калуга	улица Мичурина
Ярославская область	Ярославль	жилой район Липовая Гора, Звёздная улица
Московская область	Химки	микрорайон Левобережный, Совхозная улица
Самарская область	Тольятти	улица Ворошилова
Ростовская область	Ростов-на-Дону	улица Рыльского
Ростовская область	Ростов-на-Дону	2-я Краснодарская улица
Москва	Москва	улица Академика Янгеля
Ульяновская область	Ульяновск	проспект Дружбы Народов
Калининградская область	Калининград	Майский переулок
Самарская область	Тольятти	улица Фрунзе
Смоленская область	Смоленск	улица Ударников
Ярославская область	Ярославль	Большая Октябрьская улица
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Славянский, Заполярная улица
Москва	Москва	улица Гончарова
Ульяновская область	Ульяновск	улица Богдана Хмельницкого
Санкт-Петербург	Санкт-Петербург	проспект Луначарского
Волгоградская область	Волгоград	улица Маршала Ерёменко
Ставропольский край	Ставрополь	улица Тухачевского
Брянская область	Брянск	Авиационная улица
Москва	Москва	проезд Черепановых
Саратовская область	Балаково	улица Ленина
Самарская область	Тольятти	16-й квартал, Цветной бульвар
Иркутская область	Иркутск	Байкальская улица
Алматы	Алматы	Бостандыкский район
Алматы	Алматы	Бостандыкский район
Тверская область	Тверь	улица Паши Савельевой
Краснодарский край	Краснодар	Домбайская улица
Костанайская область	Костанай	
Воронежская область	Воронеж	улица Урицкого
Тверская область	Тверь	Хрустальная улица
Москва	Москва	улица Малыгина
Астраханская область	Астрахань	Красноармейская улица
Московская область	Красногорск	Павшинский бульвар
Московская область	Красногорск	Успенская улица
Свердловская область	Екатеринбург	микрорайон ЖБИ, Рассветная улица
Краснодарский край	Краснодар	Командорская улица
Республика Татарстан	Казань	улица Юлиуса Фучика
Тюменская область	Тюмень	Олимпийская улица
Ярославская область	Ярославль	жилой район Липовая Гора, 1-я Тормозная улица
Смоленская область	Смоленск	улица Маршала Соколовского
Ярославская область	Ярославль	проспект Машиностроителей
Тюменская область	Тюмень	улица 50 лет Октября
Москва	Москва	улица Шухова
Москва	Москва	Домодедовская улица
Воронежская область	Воронеж	Тепличная улица
Красноярский край	Красноярск	Затонская улица
Санкт-Петербург	посёлок Шушары	территория Славянка, Полоцкая улица
Красноярский край	Красноярск	Северо-Енисейская улица
Ивановская область	Иваново	проспект Строителей
Краснодарский край	посёлок Российский	Тверской проезд
Ярославская область	Ярославль	улица Бабича
Ленинградская область	Кудрово	Столичная улица
Ставропольский край	Михайловск	Любимая улица
Калининградская область	Калининград	улица Каштановая Аллея
Краснодарский край	Краснодар	Российская улица
Ярославская область	Ярославль	улица Блюхера
Архангельская область	Новодвинск	улица Димитрова
Московская область	Долгопрудный	Молодёжная улица
Нижегородская область	Нижний Новгород	улица Героя Советского Союза Прыгунова
Тверская область	Ржев	улица Карла Маркса
Смоленская область	Ярцево	улица Гагарина
Санкт-Петербург	Санкт-Петербург	Ждановская набережная
Ярославская область	Ярославль	Большая Октябрьская улица
Тульская область	Узловая	Магистральная улица
Московская область	Люберцы	улица 50 лет Комсомола
Москва	Москва	3-я Парковая улица
Ярославская область	Ярославль	Ленинградский проспект
Свердловская область	Екатеринбург	Латвийская улица
Санкт-Петербург	Колпино	улица Братьев Радченко
Краснодарский край	Краснодар	Российская улица
Ярославская область	Ярославль	жилой район Липовая Гора, Звёздная улица
Московская область	деревня Путилково	Садовая улица
Ульяновская область	Ульяновск	улица Александра Матросова
Самарская область	Тольятти	улица 70 лет Октября
Тюменская область	Тюмень	Тульская улица
Смоленская область	деревня Новосельцы	Юбилейная улица
Самарская область	Самара	проспект Карла Маркса
Свердловская область	Екатеринбург	улица Академика Шварца
Ставропольский край	Ессентуки	улица Фридриха Энгельса
Краснодарский край	Краснодар	улица Карякина
Краснодарский край	Краснодар	Дальняя улица
Нижегородская область	Дзержинск	улица Гайдара
Москва	Москва	Дубнинская улица
Ярославская область	Ярославль	Совхозная улица
Краснодарский край	Краснодар	Центральный округ, микрорайон Черёмушки, Ставропольская улица
Хабаровский край	Хабаровск	улица А.А. Вахова
Краснодарский край	Краснодар	улица им. Героя Яцкова И.В.
Тверская область	Ржев	Селижаровский проезд
Смоленская область	Смоленск	улица Петра Алексеева
Липецкая область	Липецк	Ангарская улица
Ростовская область	Ростов-на-Дону	1-я Баррикадная улица
Москва	Москва	Туристская улица
Республика Татарстан	Иннополис	Спортивная улица
Москва	Москва	Оршанская улица
Ивановская область	Кинешма	улица Менделеева
Краснодарский край	Краснодар	улица Петра Метальникова
Пермский край	Пермь	улица Крылова
Ярославская область	Рыбинск	Центральный планировочный район, посёлок Северный, улица Академика Губкина
Краснодарский край	Краснодар	улица Героя А.А. Аверкиева
Москва	Москва	Сахалинская улица
Свердловская область	Екатеринбург	проспект Космонавтов
Краснодарский край	Краснодар	Карасунский внутригородской округ, микрорайон Гидростроителей, улица Игнатова
Ставропольский край	Ессентуки	Октябрьская улица
Москва	Москва	улица Наташи Ковшовой
Ставропольский край	Ессентуки	Октябрьская улица
Москва	Москва	Щёлковское шоссе
Ярославская область	Рыбинск	Центральный планировочный район, посёлок Северный, улица Рапова
Краснодарский край	Сочи	микрорайон Заречный, Красноармейская улица
Республика Татарстан	Казань	Чистопольская улица
Ставропольский край	Михайловск	жилой район Гармония, Музыкальная улица
Москва	Москва	Елецкая улица
Московская область	Электросталь	улица Победы
Свердловская область	Екатеринбург	улица Мичурина
Курская область	Курск	Центральный округ, проспект Дружбы
Краснодарский край	Краснодар	Карасунский внутригородской округ, микрорайон Гидростроителей, улица Гидростроителей
Тюменская область	Тюмень	Фабричная улица
Москва	Москва	Профсоюзная улица
Москва	Москва	Бирюлёвская улица
Свердловская область	Первоуральск	Советская улица
Свердловская область	Екатеринбург	улица Краснолесья
Свердловская область	Екатеринбург	Заводская улица
Краснодарский край	Краснодар	проезд Репина
Смоленская область	Смоленск	улица Попова
Свердловская область	Екатеринбург	Шишимская улица
Тверская область	Тверь	2-я улица Красина
Самарская область	Тольятти	улица Свердлова
Свердловская область	Екатеринбург	Чкаловский район, микрорайон Ботанический, Родонитовая улица
Республика Татарстан	Иннополис	Спортивная улица
Ярославская область	Ярославль	проспект Октября
Саратовская область	Саратов	улица имени В.И. Чапаева
Краснодарский край	Краснодар	улица Валерия Гассия
Вологодская область	Череповец	Первомайская улица
Смоленская область	Десногорск	1-й микрорайон
Ярославская область	Рыбинск	Западный планировочный район, Прибрежный район, улица Бориса Рукавицына
Калининградская область	Калининград	улица Куйбышева
Ярославская область	Ярославль	улица 8 Марта
Москва	Москва	улица Расплетина
Санкт-Петербург	Санкт-Петербург	улица Кораблестроителей
Алматы	Алматы	улица Чайковского
Костромская область	Кострома	Индустриальная улица
Краснодарский край	Краснодар	улица Генерала Трошева
Москва	Москва	Каширское шоссе
Алматы	Алматы	улица Чайковского
Омская область	Омск	улица Серова
Костанайская область	Костанай	Соколовская улица
Нижегородская область	Нижний Новгород	улица Тропинина
Нижегородская область	Нижний Новгород	улица Политбойцов
Калужская область	Калуга	улица Никитина
Ивановская область	Кохма	Владимирская улица
Саратовская область	Балашов	улица 50 лет ВЛКСМ
Московская область	Химки	улица Нахимова
Москва	Москва	улица Фёдора Полетаева
Ростовская область	Ростов-на-Дону	микрорайон Северный, улица Добровольского
Вологодская область	Череповец	Октябрьский проспект
Волгоградская область	Волгоград	улица Поддубного
Краснодарский край	Краснодар	улица Краеведа Соловьёва
Московская область	Пушкино	улица Просвещения
Тульская область	Тула	улица Металлургов
Ярославская область	Рыбинск	улица Свободы
Москва	Москва	Студёный проезд
Ростовская область	Батайск	улица Половинко
Астраханская область	Астрахань	улица Куликова
Краснодарский край	Краснодар	Центральный округ, микрорайон Центральный, улица Гоголя
Москва	Москва	Мичуринский проспект
Москва	Москва	Абельмановская улица
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Ростовское Шоссе, улица Ивана Рослого
Московская область	Химки	Куркинское шоссе
Московская область	Сергиев Посад	Новоугличское шоссе
Краснодарский край	Краснодар	улица имени 40-летия Победы
Московская область	рабочий посёлок Октябрьский	улица 60 лет Победы
Республика Татарстан	Иннополис	Спортивная улица
Волгоградская область	Волгоград	микрорайон Тулака, улица Карла Маркса
Краснодарский край	Сочи	жилой район Адлер, улица Молокова
Ростовская область	Ростов-на-Дону	Заводская улица
Московская область	Мытищи	улица Мира
Вологодская область	Череповец	Вологодская улица
Архангельская область	Архангельск	улица Тимме
Свердловская область	Екатеринбург	улица Черепанова
Самарская область	Самара	улица Литвинова
Саратовская область	Саратов	улица Сакко и Ванцетти
Санкт-Петербург	Санкт-Петербург	улица Коллонтай
Архангельская область	Новодвинск	улица Димитрова
Краснодарский край	Сочи	Донская улица
Брянская область	Брянск	Бежицкий район, Дятьковская улица
Вологодская область	Череповец	Рыбинская улица
Смоленская область	Смоленск	2-й Краснофлотский переулок
Краснодарский край	Краснодар	Фестивальный микрорайон, улица Тургенева
Нижегородская область	Нижний Новгород	Должанская улица
Саратовская область	Саратов	улица Пушкина
Свердловская область	Екатеринбург	Октябрьский район, микрорайон Синие Камни, бульвар Есенина
Краснодарский край	Сочи	микрорайон Бытха, улица Бытха
Санкт-Петербург	Кронштадт	улица Рошаля
Санкт-Петербург	Красное Село	Гвардейская улица
Ростовская область	Ростов-на-Дону	Извилистая улица
Саратовская область	Балаково	Саратовское шоссе
Ивановская область	Иваново	Ульяновская улица
Ярославская область	Ярославль	улица Урицкого
Москва	Москва	Севанская улица
Республика Татарстан	Иннополис	Спортивная улица
Ивановская область	Шуя	2-я Южная улица
Краснодарский край	Краснодар	Центральный округ, микрорайон Черёмушки, Ставропольская улица
Тверская область	Ржев	улица Ленина
Ростовская область	Ростов-на-Дону	проспект Соколова
Волгоградская область	Волгоград	улица Дзержинского
Смоленская область	Смоленск	улица Шевченко
Хабаровский край	Хабаровск	Школьная улица
Краснодарский край	Краснодар	улица Кирилла Россинского
Алматы	Алматы	Алатауский район
Краснодарский край	Краснодар	улица Стасова
Ульяновская область	Ульяновск	проспект Туполева
Саратовская область	Саратов	Железнодорожная улица
Саратовская область	Саратов	Большая Садовая улица
Республика Татарстан	Казань	улица Мусина
Астраханская область	Астрахань	Студенческая улица
Ульяновская область	Ульяновск	улица Рябикова
Саратовская область	посёлок Новогусельский	Садовая улица
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Московский, улица им. Котлярова Н.С.
Москва	Москва	Домодедовская улица
Московская область	Лобня	улица Чкалова
Саратовская область	Балаково	улица Академика Жук
Москва	Москва	улица Малышева
Москва	Москва	Кантемировская улица
Самарская область	Тольятти	Тополиная улица
Калужская область	Калуга	Тульская улица
Ярославская область	Ярославль	Ленинградский проспект
Москва	Москва	улица Бестужевых
Орловская область	Орёл	Раздольная улица
Краснодарский край	посёлок Российский	Очаковская улица
Карагандинская область	Караганда	Октябрьский район
Санкт-Петербург	Санкт-Петербург	улица Нахимова
Москва	Москва	1-й Тушинский проезд
Волгоградская область	Волгоград	улица Ломакина
Смоленская область	Смоленск	улица Попова
Московская область	деревня Путилково	Садовая улица
Нижегородская область	Нижний Новгород	улица Дружаева
Саратовская область	Балашов	улица Орджоникидзе
Московская область	Электросталь	Ногинское шоссе
Московская область	Люберцы	Коммунистическая улица
Самарская область	Тольятти	улица Баныкина
Московская область	Балашиха	улица Кудаковского
Москва	Москва	Шмитовский проезд
Тюменская область	Тюмень	улица Домостроителей
Краснодарский край	Краснодар	Командорская улица
Иркутская область	Иркутск	Советская улица
Калужская область	Калуга	Литейная улица
Ивановская область	Иваново	3-я Межевая улица
Саратовская область	Саратов	площадь имени Г.К. Орджоникидзе
Ставропольский край	Ставрополь	улица Доваторцев
Санкт-Петербург	Санкт-Петербург	улица Лётчика Пилютова
Ростовская область	Ростов-на-Дону	микрорайон Северный, бульвар Комарова
Москва	Москва	2-я Филёвская улица
Москва	Москва	12-я Новокузьминская улица
Краснодарский край	Краснодар	улица Карякина
Ростовская область	Волгодонск	улица Карла Маркса
Алматинская область	Есик	улица Ынтымак
Москва	Москва	Знаменская улица
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Ростовское Шоссе, улица Евгении Жигуленко
Воронежская область	Воронеж	улица Чапаева
Самарская область	Самара	проспект Карла Маркса
Ярославская область	Ярославль	Рыбинская улица
Краснодарский край	Краснодар	Фестивальный микрорайон, микрорайон Солнечный, Казбекская улица
Калужская область	Калуга	Молодёжная улица
Москва	Москва	улица Яблочкова
Самарская область	Тольятти	улица Лизы Чайкиной
Санкт-Петербург	Санкт-Петербург	7-я Советская улица
саратовская	саратов	
Самарская	Тольятти	
Тверская область	Тверь	Спортивный переулок
Москва	Москва	Кировоградская улица
Москва	Москва	улица Архитектора Власова
Ярославская область	Ярославль	2-й Брагинский проезд
Московская область	Балашиха	Северный проезд
Нижегородская область	Нижний Новгород	проспект Ильича
Ростовская область	Ростов-на-Дону	Таганрогская улица
Ярославская область	Ярославль	улица Панина
Ивановская область	Иваново	Зелёная улица
Ярославская область	Ярославль	Ленинградский проспект
Смоленская область	Смоленск	улица Рыленкова
Саратовская область	Саратов	улица имени В.Г. Рахова
Тульская область	Тула	улица Кутузова
Ростовская область	Ростов-на-Дону	микрорайон Западный, Коммунистический проспект
Московская область	Реутов	Юбилейный проспект
Смоленская область	Смоленск	улица Крупской
Санкт-Петербург	Санкт-Петербург	1-й Рабфаковский переулок
Нижегородская область	Бор	2-й микрорайон
Ростовская область	Батайск	улица Крупской
Ярославская область	Ярославль	жилой район Липовая Гора, Звёздная улица
Хабаровский край	Хабаровск	Краснореченская улица
Свердловская область	Екатеринбург	Орджоникидзевский район, микрорайон Эльмаш, улица Бабушкина
Москва	Москва	Ташкентская улица
Смоленская область	Смоленск	улица Валентины Гризодубовой
Ярославская область	Ярославль	жилой район Сокол, Дядьковский проезд
Санкт-Петербург	Санкт-Петербург	проспект Добролюбова
Пермский край	Пермь	Камышловская улица
Свердловская область	Екатеринбург	Железнодорожный район, микрорайон Старая Сортировка, Таёжная улица
Ярославская область	Ярославль	улица Чехова
Смоленская область	Смоленск	улица Авиаторов
Тюменская область	Тюмень	проезд Геологоразведчиков
Саратовская область	Саратов	улица имени Сергея Фёдоровича Тархова
Смоленская область	Смоленск	проспект Строителей
Республика Татарстан	Иннополис	Спортивная улица
Алматы	Алматы	улица Айнамкоз
Хабаровский край	Хабаровск	Оборонная улица
Тверская область	Тверь	Ипподромная улица
Московская область	Жуковский	улица Дугина
Самарская область	Самара	Майская улица
Ульяновская область	Ульяновск	улица Ефремова
Калужская область	Калуга	улица Клюквина
Костромская область	Кострома	Южная улица
Ярославская область	Рыбинск	улица Рокоссовского
Ярославская область	Ярославль	улица Калинина
Москва	Москва	Изюмская улица
Московская область	Королёв	микрорайон Юбилейный, улица Тихомировой
Московская область	Электросталь	улица Захарченко
Саратовская область	Саратов	улица имени В.М. Азина
Орловская область	Орёл	улица Родзевича-Белевича
Калужская область	Калуга	улица Суворова
Москва	Москва	улица Дмитриевского
Москва	Москва	Широкая улица
Ростовская область	Ростов-на-Дону	микрорайон Западный, Коммунистический проспект
Краснодарский край	Краснодар	Фестивальный микрорайон, улица Атарбекова
Ярославская область	Ярославль	улица Панина
Ярославская область	Ярославль	улица Гоголя
Курская область	Железногорск	улица Ленина
Краснодарский край	Краснодар	улица им. Шаляпина Ф.И.
Хабаровский край	Хабаровск	улица Суворова
Вологодская область	Череповец	Первомайская улица
Павлодарская область	Экибастуз	улица Естая Беркимбаева
Ставропольский край	Ставрополь	Промышленный район, микрорайон № 21, Ботанический проезд
Павлодарская область	Экибастуз	улица Естая Беркимбаева
Санкт-Петербург	Санкт-Петербург	4-я линия Васильевского острова
Московская область	Химки	улица 9 Мая
Архангельская область	Архангельск	Воскресенская улица
Нижегородская область	Дзержинск	улица Пирогова
Московская область	Электросталь	проспект Ленина
Ярославская область	Ярославль	улица Калинина
Ярославская область	Ярославль	Московский проспект
Иркутская область	Иркутск	улица Александра Невского
Вологодская область	Череповец	улица Мира
Краснодарский край	Краснодар	Офицерская улица
Саратовская область	Саратов	Большая Горная улица
Свердловская область	Екатеринбург	улица Шейнкмана
Саратовская область	Саратов	Высокая улица
Смоленская область	Смоленск	улица Лавочкина
Калужская область	Калуга	улица Ленина
Москва	Москва	улица Руднёвка
Москва	Москва	Варшавское шоссе
Архангельская область	Архангельск	исторический район Соломбала, улица Адмирала Кузнецова
Ставропольский край	Ставрополь	улица 50 лет ВЛКСМ
Краснодарский край	Сочи	микрорайон Новый Сочи, улица Пирогова
Воронежская область	Воронеж	Советский район, микрорайон Придонской, улица 232 Стрелковой Дивизии
Свердловская область	Екатеринбург	Ангарская улица
Москва	Москва	улица Руднёвка
Тюменская область	Тюмень	улица Хохрякова
Санкт-Петербург	Санкт-Петербург	Сердобольская улица
Павлодарская область	Павлодар	
Ярославская область	Ярославль	проспект Фрунзе
Смоленская область	Смоленск	улица Шевченко
Самарская область	Тольятти	улица Маршала Жукова
Орловская область	Орёл	улица Алроса
