"id_lid","address","bot_log"
"1190581","Нягань, мкр 4, д 13, помещение 250 ","
09:34:56 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Нягань, мкр 4, д 13, помещение 250 
или организация:  ИП Комарова Ольга Геннадьевна"
"1191361","Респ Адыгея, Тахтамукайский р-н, пгт Яблоновский, ул Гагарина, д 192 к 3 ","
11:04:01 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Респ Адыгея, Тахтамукайский р-н, пгт Яблоновский, ул Гагарина, д 192 к 3 
или организация: юр лицо"
"1191534","Саратов новостраханское шоссе 13а","
11:41:24 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Саратов новостраханское шоссе 13а
или организация: Ариадна"
"1191535","Московская обл, г Химки, мкр Подрезково, ул Центральная, д 2/5 ","
11:44:31 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Химки, мкр Подрезково, ул Центральная, д 2/5 
или организация: 5047136856 ОК ЖКХ Подрезково"
"1192337","ТВЕРСКАЯ ОБЛ.СПИРОВСКИЙ РАЙОН ПГТ СПИРОВО, ЖЕЛЕЗНОДОРОЖНАЯ 1 ","
09:47:48 13-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: ТВЕРСКАЯ ОБЛ.СПИРОВСКИЙ РАЙОН ПГТ СПИРОВО, ЖЕЛЕЗНОДОРОЖНАЯ 1 
или организация: ИП КУЛИКОВ ВЛАДИМИР СЕРГЕЕВИЧ, 694100317203"
"1191483","г Чита, ул Новобульварная, д 42б ","
11:49:02 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Чита, ул Новобульварная, д 42б 
или организация: ИП ""Янечек Игорь Аркадьевич""/ 753607627913"
"1192193","г Санкт-Петербург, пр-кт Маршала Жукова, д 21 литера а ","
08:35:38 13-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Санкт-Петербург, пр-кт Маршала Жукова, д 21 литера а 
или организация: ООО СКАНЛАЙТ/ 7807245202"
"1192509","Московская обл, г Солнечногорск, рп Ржавки, д 18 ","
12:51:51 13-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Солнечногорск, рп Ржавки, д 18 
или организация: ИП Герман "
"1192973","Санкт-Петербург, Ветеранов 78к2","
11:50:16 14-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Санкт-Петербург, Ветеранов 78к2
или организация: ИП Лосева Е.Г./781624828936"
"1193213","город рязань улица есенина 37 дробь 2","
12:18:08 14-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: город рязань улица есенина 37 дробь 2
или организация: МАГАЗИН/-"
"1193914","Респ Крым, г Керчь, ул Госпитальная, д 38 ","
10:54:32 15-11-2021: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""6144362978""]/div/table/tbody/tr/td/div/order-connection/div/div[2]/section/div[1]/div[2]/div/div[3]/div/span[2]""}
  (Session info: chrome=95.0.4638.69)
Stacktrace:
Backtrace:
	Ordinal0 [0x00F5BDE3+2473443]
	Ordinal0 [0x00EF6661+2057825]
	Ordinal0 [0x00E02438+1057848]
	Ordinal0 [0x00E2C7DB+1230811]
	Ordinal0 [0x00E56712+1402642]
	Ordinal0 [0x00E4571A+1333018]
	Ordinal0 [0x00E54ABF+1395391]
	Ordinal0 [0x00E455AB+1332651]
	Ordinal0 [0x00E22104+1188100]
	Ordinal0 [0x00E22F59+1191769]
	GetHandleVerifier [0x010E2266+1549718]
	GetHandleVerifier [0x0118D4A7+2250711]
	GetHandleVerifier [0x00FE718B+521403]
	GetHandleVerifier [0x00FE6229+517465]
	Ordinal0 [0x00EFB79D+2078621]
	Ordinal0 [0x00EFFB58+2095960]
	Ordinal0 [0x00EFFC92+2096274]
	Ordinal0 [0x00F09541+2135361]
	BaseThreadInitThunk [0x779B62C4+36]
	RtlSubscribeWnfStateChangeNotification [0x77D61B69+1081]
	RtlSubscribeWnfStateChangeNotification [0x77D61B34+1028]
"
"1193705","Оренбург, г.Оренбург ул. 15 Линия 35 ","
08:16:29 15-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Оренбург, г.Оренбург ул. 15 Линия 35 
или организация: ООО&quot;Лайф&quot;, 5610094288"
"1193907","г.Буй, ул. Октябрьской Революции 56","
10:50:10 15-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г.Буй, ул. Октябрьской Революции 56
или организация: ООО Гемотест ЦФО"
"1194223","Московская обл, г Подольск, село Покров, д 151 ","
14:16:24 15-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Подольск, село Покров, д 151 
или организация: ООО &quot;АТВАРМОР&quot;, 5036153930"
"1194887","Краснодарский край, ст-ца Каневская, ул Чипигинская, д 137А ","
09:57:26 16-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Краснодарский край, ст-ца Каневская, ул Чипигинская, д 137А 
или организация: детский сад"
"1194998","Московская обл, г Королёв, мкр Первомайский, ул Советская, д 27 ","
11:38:38 16-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Королёв, мкр Первомайский, ул Советская, д 27 
или организация: ип"
"1195307","г Екатеринбург, ул Крауля, стр 8а ","
09:23:54 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Екатеринбург, ул Крауля, стр 8а 
или организация: УрТИСИ СибГУТИ, 5405101327"
"1195418","Московская обл, г Долгопрудный, мкр Павельцево, Новое шоссе, д 31А ","
09:30:00 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Долгопрудный, мкр Павельцево, Новое шоссе, д 31А 
или организация: Самозанятый."
"1195867","Тюменская обл, рп Голышманово, ул Ленина, д 137 стр 1 ","
09:37:54 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Тюменская обл, рп Голышманово, ул Ленина, д 137 стр 1 
или организация: помещение 3"
"1195222","Геленджик, Южная промышленная зона, Сухумское шоссе 3к","
09:21:44 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Геленджик, Южная промышленная зона, Сухумское шоссе 3к
или организация: ИП Пиклун Евгений Дмитриевич, 505028209862"
"1195374","Волгоград, пр Ленина  30","
09:27:00 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Волгоград, пр Ленина  30
или организация: нежилое помещение"
"1195394","Костромская обл, г Шарья, ул Свердлова, зд 28д ","
09:27:59 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Костромская обл, г Шарья, ул Свердлова, зд 28д 
или организация: 4429004183 / Кострома сервис понце"
"1196041","г Курск, ул Станционная, зд 35 ","
12:07:30 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Курск, ул Станционная, зд 35 
или организация: кафе"
"1196510","Московская область рп Шаховская, 1-я Советская 2б","
20:16:47 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская область рп Шаховская, 1-я Советская 2б
или организация:  ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ;ИГУАСУ, 7733691961"
"1196355","тамбов, площадь мастерских 1а ","
16:50:47 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: тамбов, площадь мастерских 1а 
или организация: ooo&quot;Швея&quot;, 6831021064"
"1196104","Курган, улица Дзержинского 33-б/1","
13:12:52 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Курган, улица Дзержинского 33-б/1
или организация: ООО &quot;Курганлифт&quot;, 4501228532"
"1196295","г Екатеринбург, ЕКАД 5 км, стр 6в ","
15:58:40 17-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Екатеринбург, ЕКАД 5 км, стр 6в 
или организация: 6670341409 / АО Металл"
"1197041","Респ Крым, г Симферополь, б-р Ленина, д 7 ","
14:19:19 18-11-2021: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""6144362978""]/div/table/tbody/tr/td/div/order-connection/div/div[2]/section/div[1]/div[2]/div/div[3]/div/span[2]""}
  (Session info: chrome=96.0.4664.45)
Stacktrace:
Backtrace:
	Ordinal0 [0x00BD6023+2514979]
	Ordinal0 [0x00B6F6B1+2094769]
	Ordinal0 [0x00A726C8+1058504]
	Ordinal0 [0x00A9D2D8+1233624]
	Ordinal0 [0x00A9D4CB+1234123]
	Ordinal0 [0x00AC7652+1406546]
	Ordinal0 [0x00AB635A+1336154]
	Ordinal0 [0x00AC59FF+1399295]
	Ordinal0 [0x00AB61EB+1335787]
	Ordinal0 [0x00A92617+1189399]
	Ordinal0 [0x00A93479+1193081]
	GetHandleVerifier [0x00D65624+1579748]
	GetHandleVerifier [0x00E10417+2279639]
	GetHandleVerifier [0x00C6473B+527355]
	GetHandleVerifier [0x00C637E9+523433]
	Ordinal0 [0x00B74BF9+2116601]
	Ordinal0 [0x00B79238+2134584]
	Ordinal0 [0x00B79372+2134898]
	Ordinal0 [0x00B82EB1+2174641]
	BaseThreadInitThunk [0x779B62C4+36]
	RtlSubscribeWnfStateChangeNotification [0x77D61B69+1081]
	RtlSubscribeWnfStateChangeNotification [0x77D61B34+1028]
"
"1197825","Волгоград, поселок металлургов 120А","
10:54:01 19-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Волгоград, поселок металлургов 120А
или организация: АГАО ЦСП Олимп /3459007454"
"1197408","г Краснодар, ул Заполярная, д 35 к 8 ","
19:00:11 18-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Краснодар, ул Заполярная, д 35 к 8 
или организация: Офис"
"1198162","Тюмень, Александра Логунова 11 корпус 3","
15:10:58 19-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Тюмень, Александра Логунова 11 корпус 3
или организация: ЗАО ПСФ Стар, 7203056837"
"1200307","г Москва, Чистопрудный б-р, д 23 стр 1 ","
12:16:15 21-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, Чистопрудный б-р, д 23 стр 1 
или организация: JJ лауд/ инн"
"1200599","Самарская обл, г Тольятти, ул Индустриальная, влд 9, ком 25","
16:54:59 21-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Самарская обл, г Тольятти, ул Индустриальная, влд 9, ком 25
или организация: ООО Стоматология"
"1201119"," город красноуфимск улица высокая 14 школа номер 2","
11:17:17 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес:  город красноуфимск улица высокая 14 школа номер 2
или организация: МАУУУ СШ №2 "
"1200999","Пенза, г Пенза, пр-кт Строителей, д 69, кв 7 ","
09:16:06 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Пенза, г Пенза, пр-кт Строителей, д 69, кв 7 
или организация: 434549035017 / ИП Мусаутова Ильмира Камильевна"
"1201029","Краснодарский край, ст-ца Каневская, ул Советская, д 91А ","
11:18:29 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Краснодарский край, ст-ца Каневская, ул Советская, д 91А 
или организация: магазин"
"1201035","Казань, РФ, Республика Татарстан, Зеленодольский р-н, пгт Васильево, ул. Курская, д. 5а ","
09:51:08 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Казань, РФ, Республика Татарстан, Зеленодольский р-н, пгт Васильево, ул. Курская, д. 5а 
или организация: Мамадышский завод растительных масел"
"1201197","г Москва, ул Гарибальди, д 15 к 2 ","
11:53:41 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, ул Гарибальди, д 15 к 2 
или организация: офис "
"1201298","г Орёл, Московское шоссе, д 137 к 11 ","
13:05:09 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Орёл, Московское шоссе, д 137 к 11 
или организация: 5753035964 / ООО ""Текстиль Контракт"""
"1201521","г Пенза, Байдукова проезд/Гагарина ул, д 3 ","
15:18:17 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Пенза, Байдукова проезд/Гагарина ул, д 3 
или организация: 5835124090 / ООО Автоэксперт Плюс"
"1201517","ярославль гагарина дом 14 дробь 13","
15:19:15 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: ярославль гагарина дом 14 дробь 13
или организация: ООО БСХ,770350752"
"1201547","Респ Крым, г Симферополь, ул Балаклавская, д 68 ","
15:28:12 22-11-2021: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id=""6144362978""]/div/table/tbody/tr/td/div/order-connection/div/div[2]/section/div[1]/div[2]/div/div[3]/div/span[2]""}
  (Session info: chrome=96.0.4664.45)
Stacktrace:
Backtrace:
	Ordinal0 [0x00FC6023+2514979]
	Ordinal0 [0x00F5F6B1+2094769]
	Ordinal0 [0x00E626C8+1058504]
	Ordinal0 [0x00E8D2D8+1233624]
	Ordinal0 [0x00E8D4CB+1234123]
	Ordinal0 [0x00EB7652+1406546]
	Ordinal0 [0x00EA635A+1336154]
	Ordinal0 [0x00EB59FF+1399295]
	Ordinal0 [0x00EA61EB+1335787]
	Ordinal0 [0x00E82617+1189399]
	Ordinal0 [0x00E83479+1193081]
	GetHandleVerifier [0x01155624+1579748]
	GetHandleVerifier [0x01200417+2279639]
	GetHandleVerifier [0x0105473B+527355]
	GetHandleVerifier [0x010537E9+523433]
	Ordinal0 [0x00F64BF9+2116601]
	Ordinal0 [0x00F69238+2134584]
	Ordinal0 [0x00F69372+2134898]
	Ordinal0 [0x00F72EB1+2174641]
	BaseThreadInitThunk [0x779B62C4+36]
	RtlSubscribeWnfStateChangeNotification [0x77D61B69+1081]
	RtlSubscribeWnfStateChangeNotification [0x77D61B34+1028]
"
"1201621","Москва, Академика Анохина 5к2","
16:22:35 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Москва, Академика Анохина 5к2
или организация: ООО &quot;Гарант Премиум&quot;"
"1201780","Ростов-на-дону, 40-летие победы 85/4 литер Е","
18:52:22 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Ростов-на-дону, 40-летие победы 85/4 литер Е
или организация: ИП Романец Александр Вячеславович   234082179608"
"1201637","Московская обл, г Химки, ул Рабочая, д 2а к 15","
16:37:19 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Химки, ул Рабочая, д 2а к 15
или организация: 5047255243"
"1201869","г Москва, ул Шолохова, д 5 к 2 ","
20:17:38 22-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, ул Шолохова, д 5 к 2 
или организация: ИП большакова "
"1203205","город москва 2 брестская улица 39 строение 3","
09:27:34 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: город москва 2 брестская улица 39 строение 3
или организация: помещение"
"1202248","Тверская область, Калининский р-н, Бурашевское сп, д.Андрейково, Спортивная 7","
10:50:56 23-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Тверская область, Калининский р-н, Бурашевское сп, д.Андрейково, Спортивная 7
или организация: 7713482078 / ООО САННИЛЭЙК"
"1202266","Брянск, Флотская 141а","
11:05:31 23-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Брянск, Флотская 141а
или организация: ИП Автомонов Алексей Алексеевич"
"1202789","Нижний Новгород, Ленина 1","
18:22:51 23-11-2021: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=96.0.4664.45)
Stacktrace:
Backtrace:
	Ordinal0 [0x00386023+2514979]
	Ordinal0 [0x0031F6B1+2094769]
	Ordinal0 [0x002226C8+1058504]
	Ordinal0 [0x0021F2A1+1045153]
	Ordinal0 [0x00215339+1004345]
	Ordinal0 [0x00215F40+1007424]
	Ordinal0 [0x0021558A+1004938]
	Ordinal0 [0x00214C3A+1002554]
	Ordinal0 [0x00213DED+998893]
	Ordinal0 [0x002140A6+999590]
	Ordinal0 [0x00223C9A+1064090]
	Ordinal0 [0x00275FAD+1400749]
	Ordinal0 [0x00266323+1336099]
	Ordinal0 [0x002759FF+1399295]
	Ordinal0 [0x002661EB+1335787]
	Ordinal0 [0x00242617+1189399]
	Ordinal0 [0x00243479+1193081]
	GetHandleVerifier [0x00515624+1579748]
	GetHandleVerifier [0x005C0417+2279639]
	GetHandleVerifier [0x0041473B+527355]
	GetHandleVerifier [0x004137E9+523433]
	Ordinal0 [0x00324BF9+2116601]
	Ordinal0 [0x00329238+2134584]
	Ordinal0 [0x00329372+2134898]
	Ordinal0 [0x00332EB1+2174641]
	BaseThreadInitThunk [0x779B62C4+36]
	RtlSubscribeWnfStateChangeNotification [0x77D61B69+1081]
	RtlSubscribeWnfStateChangeNotification [0x77D61B34+1028]
"
"1202292","Калужская обл, г Жиздра, ул Ленина, д 13 ","
11:24:40 23-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Калужская обл, г Жиздра, ул Ленина, д 13 
или организация: офис "
"1202334","Респ Адыгея, аул Понежукай, ул имени Гиссы Ильясовича Хабаху, д 27 ","
12:18:11 23-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Респ Адыгея, аул Понежукай, ул имени Гиссы Ильясовича Хабаху, д 27 
или организация: ООО Пищекомбинат "
"1202486","Тверь, Коробкова 14","
13:58:00 23-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Тверь, Коробкова 14
или организация: ООО &quot;КОРСАР&quot;, 6950105764"
"1202548","Московская обл, г Щёлково, ул Талсинская, д 59","
14:33:49 23-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Щёлково, ул Талсинская, д 59
или организация: 5050135556 / ООО обриз"
"1202790","Красноярск, проспект имени газеты Красноярский рабочий 120","
19:44:27 23-11-2021: list index out of range"
"1202943","Москва, Совхозная  12","
20:24:09 23-11-2021: list index out of range"
"1202961","г Москва, кв-л 114а Волжский Бульвар, к 6 стр 2 ","
08:50:23 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, кв-л 114а Волжский Бульвар, к 6 стр 2 
или организация: Барс"
"1203206","Москва, 5-ый Донской проезд 15 помещ.III","
09:32:06 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Москва, 5-ый Донской проезд 15 помещ.III
или организация: ООО &quot;Смарт Медика&quot;, 7725313010"
"1203621","г Москва, Симферопольский б-р, д 29 к 3 ","
15:05:32 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, Симферопольский б-р, д 29 к 3 
или организация: ИП "
"1203336","Москва, ул.Неманский проезд д.1 к.1","
11:17:27 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Москва, ул.Неманский проезд д.1 к.1
или организация: ИП Капустин Дмитрий Сергеевич, 773469196204"
"1203628","Ярославль, Республиканская 3 корпус 2","
15:07:34 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Ярославль, Республиканская 3 корпус 2
или организация: ООО &quot;Альфа-Трейд&quot;, 7606074927"
"1203380","г Саратов, ул Астраханская, д 88 к 2 ","
12:06:33 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Саратов, ул Астраханская, д 88 к 2 
или организация: ООО ДЕКАДА"
"1203613","Сергиев Посад, Дружбы д14А ТЦ Бородино ","
15:30:06 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Сергиев Посад, Дружбы д14А ТЦ Бородино 
или организация: МФЦНедвижимость"
"1203687","Махачкала, Магомеда Гаджиева 14","
16:22:47 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Махачкала, Магомеда Гаджиева 14
или организация: ИП Алейдаров Хизри Зейнуллаевич"
"1203726","Тульская обл, г Алексин, ул Болотова, д 26а ","
16:23:25 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Тульская обл, г Алексин, ул Болотова, д 26а 
или организация: ООО строй град сервис "
"1203903","г Барнаул, пр-кт Ленина, д 154а к 2 ","
19:19:50 24-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Барнаул, пр-кт Ленина, д 154а к 2 
или организация: офис"
"1204195","Респ Башкортостан, г Кумертау, ул Промышленная, д 1 к 22 ","
09:16:48 25-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Респ Башкортостан, г Кумертау, ул Промышленная, д 1 к 22 
или организация: 6623037747 / Альпсервис"
